"Código";"Descripción";"Proveedor";"Familia";"Curva de talles";"Categoría";"Clasificación";"Tipo"
"TDJ11535536";"JEAN ENERGY MALAKAI T-MEDIO SKINNY";"01";"02";"02";"01";"12";"08"
"TDJ11543711";"JEAN NOSTALGIA I T-MEDIO SKINNY LAVADO CRUDO";"01";"02";"02";"01";"12";"08"
"TDJ11543711OFF";"FALLA JEAN NOSTALGIA I T-MEDIO SKINNY LAVADO CRUDO";"01";"02";"02";"01";"12";"08"
"TDJ11551920";"JEAN  ELORA T-ALTO LOOSE BOTA HOLGADA SLOUCHY RIGIDO";"01";"02";"00";"01";"13";"10"
"TDJ11553205";"JEAN GEN T-ALTO OXFORD";"01";"02";"02";"01";"14";"10"
"TDJ11553525";"JEAN GEN T-ALTO OXFORD";"01";"02";"02";"01";"14";"10"
"TDJ11557921";"JEAN ZULMA T-ALTO LOOSE";"01";"02";"02";"01";"13";"10"
"TDJ11557921OFF";"FALLA JEAN ZULMA T-ALTO LOOSE";"01";"02";"02";"01";"13";"10"
"TDJ11561570";"JEAN HOPE T-ALTO LOOSE CALCE MOM";"01";"02";"02";"01";"99";"10"
"TDJ11565602";"JEAN LEXY T-ALTO LOOSE BOTA HOLGADA NGO";"01";"02";"02";"01";"99";"10"
"TDJ11565975";"JEAN LEXY T-ALTO LOOSE BOTA HOLGADA VDE";"01";"02";"02";"01";"99";"10"
"TDJ11565975OFF";"FALLA JEAN LEXY T-ALTO LOOSE BOTA HOLGADA VDE";"01";"02";"02";"01";"99";"10"
"TDJ11569602";"JEAN DUSTIN NGO T-ALTO LOOSE CARGO WIDE EUFORICA";"01";"02";"02";"01";"13";"10"
"TDJ11579925";"JEAN DUSTIN T-ALTO LOOSE BOTA AMPLIA";"01";"02";"00";"01";"99";"10"
"TDJ11585571";"JEAN RUBI T-MEDIO REG ELAST";"01";"02";"02";"01";"10";"08"
"TDJ11585571OFF";"FALLA JEAN RUBI T-MEDIO REG ELAST";"01";"02";"02";"01";"10";"08"
"TDJ11587236";"JEAN MEDIATION T-MEDIO SLIM ELAST";"01";"02";"02";"01";"11";"08"
"TDJ11587236OFF";"FALLA JEAN MEDIATION T-MEDIO SLIM ELAST";"01";"02";"02";"01";"11";"08"
"TDJ11595920";"JEAN RETRO ll T-ALTO LOOSE EST ROT";"01";"02";"00";"01";"13";"10"
"TDJ11597207";"JEAN TANGERINE T-ALTO REG 5 BOLS CONFORT";"01";"02";"02";"01";"10";"10"
"TDJ11599207";"JEAN PANTRO T-MEDIO OXFROD ELAST";"01";"02";"02";"01";"99";"08"
"TDJ11599570";"JEAN PANTRO T-MEDIO OXFROD ELAST";"01";"02";"02";"01";"99";"08"
"TDJ11613204";"JEAN CRISTA T-ALTO SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11613204OFF";"FALLA JEAN CRISTA T-ALTO SKINNY ELAST";"01";"02";"02";"01";"12";"10"
"TDJ11615503";"JEAN DASON T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ11615503OFF";"FALLA JEAN DASON T-ALTO CALCE REG.";"01";"02";"02";"01";"10";"10"
"TDJ11617525";"JEAN GITTA T-MEDIO SKINNY ELAS  PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ11617525OFF";"FALLA JEAN GITTA T-MEDIO SKINNY ELAS  PUSH UP";"01";"02";"02";"01";"12";"08"
"TDJ11629604";"JEAN JULIETA VDE MILITAR T-ALTO LOOSE CORDEROY";"01";"02";"02";"01";"13";"10"
"TDJ11629939";"JEAN JULIETA POMELO T-ALTO LOOSE CORDEROY";"01";"02";"02";"01";"13";"10"
